,뮤지컬 이름,공연장,기간
106,뮤지컬 〈투모로우 모닝〉,대학로 아트하우스,"2023.08.12~
2023.10.31"
107,뮤지컬 〈파리넬리〉 - 의정부,의정부예술의전당 대극장,"2023.11.24~
2023.11.25"
108,뮤지컬 〈페인터즈〉,명보아트홀,"2023.07.07~
2023.12.31"
109,뮤지컬 〈포파이〉 - 여수,GS칼텍스 예울마루 소극장,"2023.10.28~
2023.10.28"
110,뮤지컬 〈한여름밤의 꿈 in love〉,열린극장,"2023.12.01~
2023.12.22"
111,뮤지컬 〈JUMP 점프〉 - 고양,고양어울림누리 어울림극장,"2023.12.09~
2023.12.10"
112,뮤지컬 넌센스 - 제천,제천문화회관 대공연장,"2023.10.25~
2023.10.25"
113,뮤지컬 박정희 콘서트,서울스카이아트홀,"2023.10.14~
2023.10.14"
114,뮤지컬 사의찬미 - 통영,통영시민문화회관 대극장,"2023.10.28~
2023.10.28"
115,뮤지컬 세례요한,북촌나래홀,"2023.10.12~
2023.12.30"
116,뮤지컬 셰프,명보아트홀 가온홀,"2023.08.01~
2023.12.31"
117,뮤지컬 스크루테이프의 편지,북촌나래홀,"2022.01.01~
2023.10.28"
118,뮤지컬 썸데이,업스테이지(UP STAGE),"2023.09.01~
2023.10.31"
119,뮤지컬 얼쑤,은평문화예술회관,"2023.10.12~
2023.10.13"
120,뮤지컬 창백한 푸른 점 - 안양,안양아트센터 관악홀,"2023.10.21~
2023.10.22"
121,뮤지컬 파리넬리 - 오산,오산문화예술회관 대공연장,"2023.10.13~
2023.10.14"
122,뮤지컬 페트로스 - 대전,한남대학교 성지관,"2023.10.27~
2023.10.29"
123,뮤지컬 프리즌,H씨어터,"2021.05.01~
2023.10.31"
124,뮤지컬 헤드폰－홍성,나빌레라 소극장,"2023.10.20~
2023.10.22"
125,뮤지컬〈룰렛〉,연남장,"2023.10.13~
2023.11.12"
126,뮤직드라마 당신만이,JTN 아트홀 3관,"2022.05.27~
2023.11.30"
127,미디어아트 뮤지컬 〈파랑새〉 - 용인,용인포은아트홀,"2023.10.14~
2023.10.14"
128,"사람, 꽃 피우다 - 익산",함라한옥체험단지,"2023.06.10~
2023.10.28"
129,사의찬미 - 고양,고양어울림누리 어울림극장,"2023.11.04~
2023.11.05"
130,설문대여성문화센터 기획공연 뮤지컬 「창문너머 어렴풋이」 - 제주,제주 설문대여성문화센터,"2023.10.21~
2023.10.21"
131,수상불꽃극 〈호수 위 우주〉 - 세종,세종호수공원 축제섬,"2023.10.06~
2023.10.09"
132,수상불꽃극 〈호수 위 우주〉 - 세종 (돗자리석),세종호수공원 축제섬,"2023.10.06~
2023.10.09"
133,스파이크 어게인 - 고양,고양어울림누리 별모래극장,"2023.10.20~
2023.10.20"
134,써니텐,대학로 하마씨어터(구 가든씨어터),"2022.07.08~
2023.11.30"
135,언제는 행복하지 않은 순간이 있었나요,엠스테이지 2관,"2023.03.14~
2023.12.31"
136,언제는 행복하지 않은 순간이 있었나요 - 부산,부산 엠스테이지,"2023.08.31~
2023.12.31"
137,왕세자 실종사건 - 구리,구리아트홀 코스모스 대극장,"2023.10.28~
2023.10.28"
138,이은결 〈MAGIC ＆ ILLUSION〉 - 경주,경주예술의전당 대공연장(화랑홀),"2023.11.18~
2023.11.19"
139,이은결 〈MAGIC ＆ ILLUSION〉 - 익산,익산예술의전당 대공연장,"2023.12.09~
2023.12.10"
140,이은결［더 일루션 - 마스터피스］- 고양,고양아람누리 아람극장,"2023.12.29~
2023.12.31"
141,이은결［더 일루션 - 마스터피스］- 대구,천마아트센터 그랜드홀,"2023.12.23~
2023.12.25"
142,인사이드미,JTN 아트홀 2관,"2023.10.13~
2023.12.31"
143,인피니티 플라잉 - 경주,경주엑스포대공원 문화센터,"2023.04.04~
2023.11.30"
144,조선셰프 한상궁 - 전주,전주한벽문화관 마당창극 야외공연장,"2023.06.09~
2023.10.27"
145,지하철 1호선,학전블루 소극장,"2023.11.10~
2023.12.31"
146,코믹뮤지컬 〈프리즌〉 대전,대전 평송청소년문화센터 대극장,"2023.12.01~
2023.12.02"
147,코믹뮤지컬 프리즌 - 광주,빛고을시민문화관,"2023.12.20~
2023.12.24"
148,콘서트뮤지컬 〈위대한 귀향〉,북아현아트홀,"2023.10.19~
2023.10.27"
149,트롯 마당놀이 〈흥놀부뎐〉,홍해성 소극장,"2023.08.15~
2023.10.31"
150,페인터즈,경향아트힐,"2022.11.01~
2023.10.31"
151,하트시그널,대학로 하마씨어터(구 가든씨어터),"2022.11.02~
2023.11.30"
152,한국문학뮤지컬 시리즈 I ‘메밀꽃필무렵’ - 대전,대전시립연정국악원 큰마당,"2023.10.13~
2023.10.14"
153,K뮤지컬 〈정수정전〉 - 공주,공주문예회관 대공연장,"2023.10.20~
2023.10.20"
154,PIUM Project 뮤지컬 갈라 콘서트 - 대전,대전예술의전당 아트홀,"2023.10.12~
2023.10.12"
155,The Hook - 성남,한국잡월드 나래울극장,"2023.11.30~
2023.12.16"
