,연극 이름,공연장,기간
170,연극 ＂장수상회＂ - 이천,이천아트홀 대공연장,"2023.12.08~
2023.12.09"
171,연극 ［〈신〉과 〈대심문관〉 그리고 〈？혁명가〉］ - 대구,우전소극장,"2023.10.21~
2023.10.23"
172,연극 ［3.3kg］ - 대구,우전소극장,"2023.10.27~
2023.10.29"
173,연극 ［결혼］ - 대구,우전소극장,"2023.10.15~
2023.10.17"
174,연극 〈 노인과 바다〉 - 구미,소극장 공터다,"2023.10.20~
2023.10.20"
175,연극 〈3.3kg〉 - 구미,소극장 공터다,"2023.10.19~
2023.10.19"
176,연극 〈고도〉,동숭무대 소극장,"2023.10.11~
2023.10.22"
177,연극 〈난중일기에는 없다〉 - 부산,BNK부산은행조은극장 1관,"2023.09.13~
2024.01.01"
178,연극 〈내안의 그녀〉-광주,상무지구 기분좋은극장,"2023.10.19~
2023.11.26"
179,연극 〈뉴욕으로 간 우리읍내 니나〉,극장PLOT,"2023.10.06~
2023.10.22"
180,연극 〈대화〉 모노드라마,홍해성 소극장,"2023.06.17~
2023.11.30"
181,연극 〈도넛〉,대학로 플랫폼74,"2023.11.03~
2023.11.05"
182,연극 〈람바르〉,소극장 무극,"2023.10.18~
2023.10.22"
183,연극 〈망각 전의 마지막 후회〉,여행자 극장,"2023.11.02~
2023.11.12"
184,연극 〈목련 아래의 디오니소스〉 서울 꿈빛극장,꿈빛극장,"2023.10.12~
2023.10.15"
185,연극 〈뷰티풀라이프〉-대전,이수아트홀,"2023.10.14~
2024.01.28"
186,연극 〈쉬어 매드니스(Shear Madness)〉 - 군포,군포문화예술회관 철쭉홀,"2023.12.07~
2023.12.09"
187,연극 〈슈만〉,서경대학교 공연예술센터 스콘2관,"2023.10.20~
2023.12.03"
188,연극 〈아빠들의 소꿉놀이〉 - 구미,소극장 공터다,"2023.10.17~
2023.10.17"
189,연극 〈언플러그드〉 - 대전,대전 아신극장,"2023.09.01~
2023.10.15"
190,연극 〈언플러그드〉 - 울산,현대예술관 소공연장,"2023.10.12~
2023.10.24"
191,연극 〈연적〉,대학로 유니플렉스 3관,"2023.10.04~
2023.12.31"
192,연극 〈열녀를 위한 장례식〉,대학로예술극장 대극장,"2023.10.27~
2023.11.05"
193,연극 〈옆집사람〉,대학로 자유극장,"2023.08.11~
2023.10.29"
194,연극 〈오마이데스티니〉,대학로 드림씨어터,"2023.10.17~
2023.10.22"
195,연극 〈운빨로맨스〉 - 대전,대전평송청소년문화센터 소극장,"2023.12.01~
2023.12.31"
196,연극 〈지정〉 - 부산,영화의전당 하늘연극장,"2023.11.23~
2023.11.24"
197,연극 〈찰나의 단짝〉,삼일로창고극장,"2023.10.14~
2023.10.15"
198,연극 〈행쇼〉 - 부산,BNK부산은행조은극장 2관,"2023.09.07~
2024.01.07"
199,연극 〈회수조〉,대학로예술극장 소극장,"2023.10.27~
2023.11.05"
200,연극 〈UNHAPPINESS〉,놀터예술공방,"2023.10.14~
2023.10.15"
201,연극 끝까지 간다(블랙코미디),북극곰소극장,"2019.12.24~
2023.10.31"
202,연극 딜리버리 - 대구,여우별아트홀,"2023.09.28~
2023.11.26"
203,연극 비누향기 - 울산,CK아트홀,"2023.09.26~
2023.10.29"
204,연극 생일파티 - Again 2003,대학로 이음아트홀,"2023.11.10~
2023.11.12"
205,연극 운빨로맨스-전주,한해랑아트홀,"2023.11.10~
2023.12.25"
206,연극 죽여주는이야기 - 울산,CK아트홀,"2023.11.07~
2023.12.10"
207,연극 진행요원－수원,소극장 울림터,"2023.10.22~
2023.10.22"
208,연극〈서유기:전설의 서막〉 - 대전,대전예술의전당 앙상블홀,"2023.11.17~
2023.11.19"
209,연극〈원모어나잇〉 - 대전,런던스테이지,"2023.10.05~
2024.03.03"
210,연극〈웨딩브레이커〉-대전,대전 아신극장,"2023.10.18~
2023.11.26"
211,연극〈지정〉-용인,용인시문예회관 처인홀,"2023.11.11~
2023.11.12"
212,연극〈크리미널 시즌4〉,봄날아트홀,"2017.02.01~
2023.10.31"
213,연애말고 결혼 - 광주공연,광주 유스퀘어문화관 동산아트홀,"2023.10.01~
2023.10.29"
